id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle Prayer,MC Solaris,hip-hop,nostalgic,0.68,95,0.52,0.74,0.25
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,64,0.73,0.28,0.98
13,Drop Protocol,Bass Vector,electronic,energetic,0.95,140,0.60,0.91,0.03
14,Velvet Letters,Solenne,r&b,romantic,0.55,88,0.78,0.69,0.42
15,Porch Light Ballad,Creek Road,folk,melancholic,0.30,74,0.38,0.43,0.95
16,Iron Hymn,Shatter Point,metal,angry,0.97,168,0.25,0.52,0.04
17,Dreamweaver,Lume,dream pop,dreamy,0.50,98,0.70,0.58,0.55
18,Sunday Sway,Coastline Co.,reggae,relaxed,0.48,82,0.83,0.76,0.62
19,Static Rain,Pale Mirror,shoegaze,sad,0.65,108,0.30,0.45,0.38
20,Afterglow,Riven,chillwave,nostalgic,0.45,96,0.66,0.63,0.48
